post_id,post_url,text,reaction_count,comments_count,share_count,virality_score,author_name,post_type,contains_image,contains_link,keywords,sentiment,emotion,category,topic_category,post_routing_id
1BA1LooEcL,https://www.facebook.com/share/p/1BA1LooEcL/,"NRBC Newgen savings account এর ফিচার দেখে এবং গ্রুপে সবার ভাইব দেখে এর একাউন্ট খুলে ফেললাম। একাউন্টের ফিচার সমূহ হল: ১৮-৩২ পর্যন্ত সকল চার্জ ফ্রি, প্রথম ১০ পাতা চেক বই ফ্রি, ডেবিট কার্ড ফ্রি ৩২ বছর পর্যন্ত। বি:দ্র: Atm both কম, অন্য ATM এ টাকা তুললে প্রতি ট্রানজেকশনে ১৫ টাকা কাটে, npsb তে ১০ টাকা চার্জ কাটে Account Review; Account opening :12-05-2025 Check book collect :21-05-2025 Card recived:01-06-2025 এটি visa card, dual currency supported.কার্ডের ই-কমার্স বন্ধ থাকে ব্যাংক থেকে অন করে নিতে হয় প্রথমে। ব্যাংকের কর্মকর্তারা অনেক আন্তরিক ছিল। খুব ভদ্রতার সাথে এখন খুলে দেয়। অ্যাকাউন্ট খুলতে কোন প্রকার ঝামেলার সম্মুখীন হওয়া লাগেনি। অ্যাকাউন্ট খুলতে যা যা প্রয়োজনীয় : ১.নিজের এন আইডি + ২ কপি ছবি ২.নমিনির এনআইডি +২ কপি ছবি ৩.স্টুডেন্ট আইডি কার্ড ৪.বিদ্যুৎ বিলের ফটোকপি",60,33,5,119.5,,text,False,False,"NRBC, savings account, free, ATM, visa card, bank",Positive,Joy,Praise,finance,PR_527dc81d5233
15u2gqKsys,https://www.facebook.com/share/p/15u2gqKsys/,"Prime Bank Youth Account: A Detailed Review of My Experience Account Opening Journey: I opened my Prime Bank Youth Account at the Mohakhali Branch on 29th December 2024. The process was smooth, requiring an initial deposit of 1,000 BDT to activate the account. Within 4 days, I received my cheque book, and by 7 January, my debit card was in hand. Debit Card Design: The debit card is fantastic—sleek, modern, and a perfect 10/10. The added NFC support is a standout feature for contactless payments. Who Can Apply? This account is perfect for Bangladeshi students aged 18 to 25, offering great savings options with modern banking benefits. Key Features of the Prime Bank Youth Account: 1. Interest Benefits: 4% attractive interest on savings. Daily interest calculation with half-yearly payouts, helping your funds grow steadily. 2. Free Banking Facilities: No account maintenance fee, maximizing your savings. Free Debit Card and the first Cheque Book provided at no cost. Complimentary access to MyPrime Internet Banking and SMS alerts. 3. Initial Deposit Requirement: Open the account with a minimum deposit of just 1,000 BDT, making it affordable for students. Required Documents for Opening the Account at Mohakhali Branch: 1. Identity Proof: NID, Passport, or Birth Certificate for both the applicant and nominee. 2. Address Proof: A recent utility bill (electricity, water, telephone, etc.). 3. Income/Profession Proof: Valid Student ID or certification from your educational institution. Supporting documents for the parent’s or guardian’s source of funds (if applicable). 4. Other Documents: 2 passport-size photos of the applicant (self-attested). 1 passport-size photo of the nominee, attested by the account holder. Proof of Tax Return Submission (PSR) & E-TIN Certificate.",98,110,10,283.0,Foysal Hossain,text,False,True,"Prime Bank, Youth Account, Mohakhali Branch, Student Banking, Savings Account, Modern Banking, Bangladesh",Positive,Joy,Praise,finance,PR_c90e9a5299ea
1BCAyMyLdY,https://www.facebook.com/share/p/1BCAyMyLdY/,Prime Bank এর credit card এর review জানতে চাই।,41,20,0,71.0,Zahidul Islam,text,False,False,"Prime Bank, credit card, review",Neutral,Neutral,Inquiry,finance,PR_101053c2df03
1RAP4eGMYJ,https://www.facebook.com/share/p/1RAP4eGMYJ/,আলহামদুলিল্লাহ! আজ হাতে পেলাম আমার Prime Bank – My First Account এর ডেবিট কার্ড ও চেকবই। Service? Simply excellent! বিশেষ ধন্যবাদ Faridpur Branch এর Senior Executive Officer Bhabotosh Kumar Baidya Sir–কে। তাঁর ব্যবহার ও সহযোগিতা সত্যিই প্রশংসনীয়।,133,44,6,211.0,Abdullah Al Mahmud,text,False,False,"Prime Bank, debit card, checkbook, service, Faridpur Branch",Positive,Joy,Praise,finance,PR_49a306ac5096
19a3ZCE3KS,https://www.facebook.com/share/p/19a3ZCE3KS/,PRIME BAANK STUDENT ACCOUNT UPDATE এখন থেকে প্রাইম ব্যাংকের স্টুডেন্ট একাউন্টের বিপরীতে ডুয়েল কারেন্সি মাস্টার কার্ড নিতে পারবেন। আমার মত শুরুতে যারা একাউন্ট করেছেন তাদের ডুয়েল কারেন্সি কার্ড চাইলে রিপ্লেস করে নতুন কার্ড নিতে হবে। সিআরএম সুবিধা ও যুক্ত হচ্ছে। সব মিলিয়ে প্রাইম ইউথ একাউন্ট এখন ব্র্যাক আগামী সেভার্সের যমজ ভাই কার্ড সম্পর্কে বিস্তারিত সিসি জানে না। নতুন কার্ড ইস্যুতে চার্জ হবে কিনা তাও জানে না।,49,88,2,185.0,Salman Islam Sahal,text,False,True,"student account, prime bank, dual currency, master card, CRM",Neutral,Neutral,Inquiry,finance,PR_7c0c23f04952
opetnoSdrs930mft0u0a0772fy0207i021cMl31ai2,URL not found - Share button not visible,Here all of my bank account details are given below. 1. Bank Name: Brac Bank Account Type: Current Campus Ac Account Maintenance fee: Free Card fee: 345 SMS Alert fee: Free 2. Bank Name: City Bank Account Type: General Savings Ac Account Maintenance fee: It will depend upon your average balance. Card fee: 575 SMS Alert fee: 345 3. Bank Name: UCB Account Type: Student Account Maintenance fee: Free Card fee: 287.50 SMS Alert fee: Free 4. Bank Name: EBL Account Type: EBL Campus Ac Account Maintenance fee: Free Card fee: 575 SMS Alert fee: 345 5. Bank Name: IBBL Account Type: Student Account Maintenance fee: Free Card fee: Free SMS Alert fee: Free 6. Bank Name: AB Account Type: Student Account Maintenance fee: Free Card fee: 345 SMS Alert fee: 172.5 7. Bank Name: IFIC Account Type: Shohoj Ac Account Maintenance fee: Free Card fee: 345 SMS Alert fee: 57.5 8. Bank Name: Midland Bank Account Type: MDB College Saver Account Maintenance fee: Free Card fee: Free SMS Alert fee: Free 9. Bank Name: AIBL Account Type: Savings Account Maintenance fee: It will depend upon your average balance. Card fee: 575 SMS Alert fee: 115 10. Bank Name: DBBL Account Type: Student Account Maintenance fee: Free Card fee: 230 SMS Alert fee: 115,199,0,0,199.0,Riad Hossain,text,False,False,"bank, account, details, fee, card, SMS, alert",Neutral,Neutral,Other,finance,PR_a6fc6c6122ba
15u2gqKsys,https://www.facebook.com/share/p/15u2gqKsys/,"Prime Bank Youth Account: A Detailed Review of My Experience Account Opening Journey: I opened my Prime Bank Youth Account at the Mohakhali Branch on 29th December 2024. The process was smooth, requiring an initial deposit of 1,000 BDT to activate the account. Within 4 days, I received my cheque book, and by 7 January, my debit card was in hand. Debit Card Design: The debit card is fantastic—sleek, modern, and a perfect 10/10. The added NFC support is a standout feature for contactless payments. Who Can Apply? This account is perfect for Bangladeshi students aged 18 to 25, offering great savings options with modern banking benefits. Key Features of the Prime Bank Youth Account: 1. Interest Benefits: 4% attractive interest on savings. Daily interest calculation with half-yearly payouts, helping your funds grow steadily. 2. Free Banking Facilities: No account maintenance fee, maximizing your savings. Free Debit Card and the first Cheque Book provided at no cost. Complimentary access to MyPrime Internet Banking and SMS alerts. 3. Initial Deposit Requirement: Open the account with a minimum deposit of just 1,000 BDT, making it affordable for students. Required Documents for Opening the Account at Mohakhali Branch: 1. Identity Proof: NID, Passport, or Birth Certificate for both the applicant and nominee. 2. Address Proof: A recent utility bill (electricity, water, telephone, etc.). 3. Income/Profession Proof: Valid Student ID or certification from your educational institution. Supporting documents for the parent’s or guardian’s source of funds (if applicable). 4. Other Documents: 2 passport-size photos of the applicant (self-attested). 1 passport-size photo of the nominee, attested by the account holder. Proof of Tax Return Submission (PSR) & E-TIN Certificate.",98,110,10,283.0,Foysal Hossain,text,False,True,"Prime Bank, Youth Account, Mohakhali Branch, Student Banking, Savings Account, Modern Banking",Positive,Joy,Praise,finance,PR_c90e9a5299ea
19a3ZCE3KS,https://www.facebook.com/share/p/19a3ZCE3KS/,PRIME BAANK STUDENT ACCOUNT UPDATE এখন থেকে প্রাইম ব্যাংকের স্টুডেন্ট একাউন্টের বিপরীতে ডুয়েল কারেন্সি মাস্টার কার্ড নিতে পারবেন। আমার মত শুরুতে যারা একাউন্ট করেছেন তাদের ডুয়েল কারেন্সি কার্ড চাইলে রিপ্লেস করে নতুন কার্ড নিতে হবে। সিআরএম সুবিধা ও যুক্ত হচ্ছে। সব মিলিয়ে প্রাইম ইউথ একাউন্ট এখন ব্র্যাক আগামী সেভার্সের যমজ ভাই কার্ড সম্পর্কে বিস্তারিত সিসি জানে না। নতুন কার্ড ইস্যুতে চার্জ হবে কিনা তাও জানে না।,49,88,2,185.0,Salman Islam Sahal,text,False,True,"student account, prime bank, dual currency, master card, CRM",Neutral,Neutral,Inquiry,finance,PR_7c0c23f04952
1Kqn9QWrTW,https://www.facebook.com/share/p/1Kqn9QWrTW/,"লাইফের সবচেয়ে বাজে সিদ্ধান্ত ছিলো 'মেঘনা ব্যাংকের' ক্রেডিট কার্ডের জন্য আবেদন করা। আজকে ১ মাস ১ দিন হতে চললো কার্ডের কোন দেখা নাই,,,এর চেয়ে তো সরকারী ব্যাংকও আরো দ্রুত সার্ভিস দেয় ন…",23,30,0,68.0,Jobael Haque Arif,text,False,False,"Meghna Bank, credit card, decision, service",Negative,Frustration,Complaint,finance,PR_247609d02c3c
1Nz5DuWJfE,https://www.facebook.com/share/p/1Nz5DuWJfE/,"Received Pathao Pay Prepaid card Today. Per my perspective, 1. Design - 4/5 (Front), 2/5 (Back) Reason: Card number, Expiry date, CVV are printed at the back of the card, not embossed. It will definitely be removed after just carrying it into the wallet. 2. Activation System - 5/5 Reason: Very easy. Just make a call to the MTB call center and follow the instructions of the IVR. 3. Quality of the card - 0/5 Reason: Very cheap quality. Need to use it carefully if I want to avoid reissue cost. Overall, the fee structure doesn't justify the card truly.",57,28,0,99.0,Raghib Ishraq Alvy,text,False,False,"Pathao Pay, Prepaid card, Design, Activation, Quality",Negative,Frustration,Complaint,finance,PR_ab853e3e70aa
12Mrb5Un8Py,https://www.facebook.com/share/p/12Mrb5Un8Py/,Pathao Pay card is available again. Check your app. #PathaoPay #CashlessBangladesh,9,28,0,51.0,Shuvo Islam Khan,text,False,False,"Pathao Pay, available, app, Cashless Bangladesh",Neutral,Neutral,Announcement,finance,PR_db22a951c1cc
ZahidulIslamnSsodoperttg2J4319m106i20,URL not found - Share button not visible,Prime Bank এর credit card এর review জানতে চাই।,41,0,0,41.0,Zahidul Islam,text,False,False,"Prime Bank, credit card, review",Neutral,Neutral,Inquiry,finance,PR_bb821aa1bcf9
3346311399005676,URL not found - Share button not visible,PRIME BAANK STUDENT ACCOUNT UPDATE এখন থেকে প্রাইম ব্যাংকের স্টুডেন্ট একাউন্টের বিপরীতে ডুয়েল কারেন্সি মাস্টার কার্ড নিতে পারবেন। আমার মত শুরুতে যারা একাউন্ট করেছেন তাদের ডুয়েল কারেন্সি কার্ড চাইলে রিপ্লেস করে নতুন কার্ড নিতে হবে। সিআরএম সুবিধা ও যুক্ত হচ্ছে। সব মিলিয়ে প্রাইম ইউথ একাউন্ট এখন ব্র্যাক আগামী সেভার্সের যমজ ভাই কার্ড সম্পর্কে বিস্তারিত সিসি জানে না। নতুন কার্ড ইস্যুতে চার্জ হবে কিনা তাও জানে না। পূর্বের পোস্ট লিংক - https://www.facebook.com/groups/bcub.bd/permalink/3346311399005676/,49,0,0,49.0,Salman Islam Sahaln,text,False,True,"student account, prime bank, dual currency, master card, CRM",Neutral,Neutral,Inquiry,finance,PR_dbc3845b7b3e
JobaelHaqueArifnodsSpteor10f2mtu2c0hS2l5re240tgee54u212499mp1f3fbu2t0c6fu,URL not found - Share button not visible,"লাইফের সবচেয়ে বাজে সিদ্ধান্ত ছিলো 'মেঘনা ব্যাংকের' ক্রেডিট কার্ডের জন্য আবেদন করা। আজকে ১ মাস ১ দিন হতে চললো কার্ডের কোন দেখা নাই,,,এর চেয়ে তো সরকারী ব্যাংকও আরো দ্রুত সার্ভিস দেয় ন…",23,0,0,23.0,Jobael Haque Arif,text,False,False,"Meghna Bank, credit card, decision, service",Negative,Frustration,Complaint,finance,PR_d9fd0a968111
1A35ePbiCD,https://www.facebook.com/share/p/1A35ePbiCD/,"In my short banking experience, this is the nicest debit card ever. Thanks to Prime Bank PLC. Account open: 09-01-25, cheque book: 21-01-25, Card receive: 25-01-25, card quality: 10/10, card design: 10/10, Brunch service: 10/10, App quality: 08/10.",69,59,2,161.5,Abdullah AL Ahad Limon,text,False,True,"banking, debit card, Prime Bank, account, service",Positive,Joy,Praise,finance,PR_88a10208600d
1Nz5DuWJfE,https://www.facebook.com/share/p/1Nz5DuWJfE/,"Received Pathao Pay Prepaid card Today. Per my perspective, 1. Design - 4/5 (Front), 2/5 (Back) Reason: Card number, Expiry date, CVV are printed at the back of the card, not embossed. It will definitely be removed after just carrying it into the wallet. 2. Activation System - 5/5 Reason: Very easy. Just make a call to the MTB call center and follow the instructions of the IVR. 3. Quality of the card - 0/5 Reason: Very cheap quality. Need to use it carefully if I want to avoid reissue cost. Overall, the fee structure doesn't justify the card truly.",57,28,0,99.0,Raghib Ishraq Alvy,text,False,True,"Pathao Pay, Prepaid card, Design, Activation, Quality",Negative,Frustration,Complaint,finance,PR_ab853e3e70aa
199t9GKE8d,https://www.facebook.com/share/p/199t9GKE8d/,Prime bank ar endorsement card diye ki international kunu kisu purchase korte gele oder permission neya lagbe naki ami icche moto use korte parbo?,9,98,0,156.0,,text,False,False,"Prime bank, endorsement card, international purchase, permission",Neutral,Confusion,Inquiry,finance,PR_0d9dcc4a05f0
1NDpWW7VdJ,https://www.facebook.com/share/p/1NDpWW7VdJ/,bkash theke mastercard e tk add korbo kivave?? nahoy prime bank and islami bank e kivave addd korbo???,1,13,0,20.5,Oyshe Islam,text,False,False,"bkash, mastercard, prime bank, islami bank",Neutral,Confusion,Inquiry,finance,PR_2f49218a9afb
